S No,State_Code,State,District_Key,Cowin Key,District,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,20/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,21/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,22/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,23/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,24/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,25/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,26/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,27/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,28/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,29/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,30/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,31/08/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,01/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,02/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,03/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,04/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,05/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,06/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,07/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,08/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022,09/09/2022
,,,,,,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobar,Nicobars,80276,574,4,29408,30661,20207,32466,27598,5,3450,73901,80802,1064,4,29408,30671,20723,32474,27600,5,3450,74427,81329,1145,4,29430,30707,21192,32509,27623,5,3450,74918,81587,1365,4,29444,30708,21435,32515,27632,5,3450,75175,82005,1064,4,29452,30716,21837,32524,27639,5,3450,75593,82238,1175,5,29456,30719,22063,32528,27642,5,3450,75826,82453,774,4,29466,30722,22265,32532,27651,5,3450,76041,82550,574,4,29469,30723,22358,32536,27651,5,3450,76138,82584,1204,4,29470,30725,22389,32536,27654,5,3450,76172,82771,774,4,29471,30765,22535,32559,27672,5,3450,76359,82897,984,4,29472,30777,22648,32566,27678,5,3450,76485,83043,564,4,29472,30781,22790,32568,27680,5,3450,76631,83205,954,4,29473,30781,22951,32568,27681,5,3450,76793,83251,576,4,29483,30804,22964,32584,27698,5,3450,76807,83338,594,4,29482,30806,23050,32584,27699,5,3450,76894,83250,453,3,29482,30804,22964,32583,27698,5,3450,76806,83353,505,4,29482,30807,23064,32584,27700,5,3450,76909,83437,707,4,29484,30806,23147,32585,27700,5,3450,76993,83565,326,4,29483,30806,23276,32584,27700,5,3450,77121,83565,101,1,29483,30806,23276,32584,27700,5,3450,77121,83689,511,4,29485,30806,23398,32585,27701,5,3450,77245
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,North and Middle Andaman,238176,6625,10,90223,86626,61327,91724,85096,29,11199,219638,239125,6472,10,90227,86634,62264,91732,85100,29,11199,220587,239642,3207,4,90228,86636,62778,91732,85103,29,11199,221104,240729,7106,10,90233,86685,63811,91760,85129,29,11199,222158,241373,8710,10,90237,86688,64448,91765,85131,29,11199,222802,242720,6162,10,90267,86710,65743,91789,85159,29,11199,224129,243334,5315,10,90297,86754,66283,91842,85180,29,11210,224680,243927,4627,10,90313,86791,66823,91870,85205,29,11225,225235,244338,3390,10,90314,86798,67226,91873,85210,29,11226,225645,244752,2758,10,90315,86802,67635,91875,85213,29,11226,226059,245077,2495,10,90318,86809,67950,91881,85217,29,11229,226381,245234,2352,10,90319,86813,68102,91886,85217,29,11230,226537,245431,1748,10,90321,86817,68293,91886,85223,29,11230,226734,245572,2556,10,90323,86823,68426,91890,85227,29,11230,226875,246173,2404,10,90343,86875,68955,91926,85263,29,11241,227411,246013,1650,10,90325,86825,68863,91892,85229,29,11230,227316,246680,1460,10,90346,86880,69454,91931,85266,29,11241,227918,246800,959,9,90362,86896,69542,91949,85280,29,11241,228010,246942,682,8,90364,86898,69680,91949,85284,29,11241,228151,246943,0,0,90364,86898,69681,91949,85284,29,11241,228152,247003,268,4,90365,86898,69740,91949,85285,29,11241,228212
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,South Andaman,574030,12882,20,226554,232755,114721,246747,212478,83,33163,523268,577871,11417,15,226604,232864,118403,246833,212551,83,33164,527108,582225,10890,18,226638,232975,122612,246906,212623,83,33164,531462,586006,9114,18,226683,233081,126242,246985,212695,83,33164,535243,589851,8430,19,226735,233226,129890,247107,212770,83,33175,539040,594460,10159,18,226796,233387,134277,247243,212856,83,33176,543612,597990,9118,20,226840,233522,137628,247335,212943,83,33176,547102,601432,10084,20,226879,233610,140943,247415,212990,83,33308,550412,604314,9474,18,226909,233714,143691,247524,213015,83,33309,553293,608739,9573,20,226960,233795,147984,247610,213061,83,33309,557718,615899,11777,20,227031,233948,154920,247741,213154,83,33416,564771,620107,12451,19,227098,234102,158907,247867,213249,83,33496,568812,622558,7097,21,227132,234170,161256,247932,213286,83,33516,571233,623607,6092,20,227155,234194,162258,247964,213301,83,33516,572273,625750,11697,20,227201,234257,164292,248029,213345,83,33614,574298,624857,9246,15,227165,234207,163485,247980,213308,83,33516,573523,629070,3970,18,227217,234296,167557,248065,213364,83,33614,577618,630078,3494,16,227238,234328,168512,248095,213387,83,33614,578592,631196,3342,17,227245,234364,169587,248122,213403,83,33614,579693,631920,3135,4,227248,234366,170306,248125,213405,83,33633,580398,633229,5259,14,227294,234434,171501,248186,213458,83,33633,581626
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,Anantapur,8555304,785000,120,3636583,3998746,919975,3669369,3962171,3786,1414859,6874442,8555587,0,0,3636584,3998748,920255,3669371,3962172,3786,1414882,6874689,8591247,789461,120,3637210,3998797,955240,3669674,3962543,3787,1418160,6904204,8620469,788160,120,3637250,3998832,984387,3669703,3962589,3787,1421735,6926401,8631178,793141,120,3637271,3998853,995054,3669730,3962604,3787,1423462,6933844,8635124,771240,118,3637314,3998857,998953,3669763,3962618,3787,1424272,6936318,8643102,810240,121,3637691,3998864,1006547,3669945,3962820,3787,1426168,6941005,8657620,799300,118,3637719,3998877,1021024,3669972,3962834,3787,1437472,6943696,8657987,0,0,3637719,3998878,1021390,3669973,3962834,3787,1437585,6943950,8704293,813750,120,3637832,3998930,1067531,3670051,3962921,3787,1454183,6972740,8722626,989100,120,3637863,3998952,1085811,3670084,3962941,3787,1461401,6983831,8722776,4000,1,3637863,3998953,1085960,3670084,3962942,3787,1461516,6983866,8733094,994800,120,3637863,3998976,1096255,3670099,3962950,3787,1464745,6990838,8755304,996200,120,3638164,3999000,1118140,3670221,3963153,3787,1473428,7003678,8772435,992424,120,3638172,3999025,1135238,3670241,3963166,3787,1481041,7011707,8756619,4000,1,3638164,3999001,1119454,3670222,3963153,3787,1473916,7004379,8803890,997805,120,3638178,3999050,1166662,3670260,3963178,3787,1487230,7036651,8810949,995840,120,3638178,3999065,1173706,3670267,3963186,3787,1488052,7042777,8820492,997707,120,3638248,3999082,1183162,3670322,3963218,3787,1488692,7051480,8840350,1003003,120,3638251,3999098,1203001,3670331,3963228,3787,1489331,7070597,8859806,994201,120,3638352,3999129,1222325,3670424,3963267,3787,1490467,7088190
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,Chittoor,9005211,541960,147,3836445,4152437,1016329,3880122,4107416,1340,1574472,7160492,9005746,36900,8,3836454,4152439,1016853,3880129,4107420,1340,1574566,7160933,9062660,1381460,150,3836904,4152647,1073109,3880479,4107728,1340,1580036,7210025,9088914,1104900,149,3837037,4152772,1099105,3880625,4107840,1340,1585228,7227313,9098862,1064190,148,3837073,4152838,1108951,3880682,4107885,1340,1586754,7234471,9105157,1067649,148,3837095,4152918,1115144,3880745,4107924,1340,1588348,7238659,9113119,1007310,147,3837122,4152982,1123015,3880803,4107957,1340,1590591,7242713,9117981,987720,146,3837144,4153006,1127831,3880832,4107974,1340,1591901,7244967,9118422,43100,23,3837148,4153009,1128265,3880834,4107979,1340,1592196,7245112,9145485,1017679,147,3837331,4153073,1155081,3880974,4108086,1340,1612823,7250804,9176388,1062710,145,3837428,4153177,1185783,3881090,4108171,1340,1620657,7273257,9176894,235599,63,3837431,4153178,1186285,3881094,4108171,1340,1620829,7273591,9192141,1004870,145,3837492,4153209,1201440,3881141,4108216,1340,1624688,7284761,9205796,958191,141,3837564,4153249,1214983,3881194,4108275,1340,1628490,7294494,9218491,925139,144,3837601,4153284,1227606,3881233,4108308,1340,1630603,7305035,9206771,23500,8,3837570,4153257,1215944,3881200,4108283,1340,1628810,7295149,9239561,1059030,146,3837673,4153334,1248554,3881317,4108346,1340,1635000,7320983,9246764,1053720,147,3837703,4153355,1255706,3881351,4108363,1340,1636862,7326192,9263100,1043956,146,3837741,4153410,1271949,3881408,4108399,1340,1638221,7341099,9282739,1055855,147,3837817,4153530,1291392,3881521,4108482,1340,1639030,7359878,9297862,1033936,146,3837872,4153623,1306367,3881610,4108540,1341,1639982,7374003
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,East Godavari,10613805,590511,147,4677348,4825466,1110991,4620276,4880717,1802,1791460,8534683,10614400,70966,26,4677355,4825469,1111576,4620283,4880720,1802,1791561,8535177,10653993,563994,160,4677613,4825535,1150845,4620450,4880877,1802,1794809,8571457,10694687,461202,136,4677810,4825610,1191267,4620613,4880986,1802,1797692,8608826,10707922,356055,104,4677865,4825640,1204417,4620659,4881025,1802,1799175,8620409,10714515,311721,92,4677906,4825662,1210947,4620696,4881051,1802,1799911,8626025,10740978,506165,149,4678060,4825911,1237007,4620924,4881226,1802,1802116,8649957,10749276,300953,98,4678107,4825952,1245217,4620969,4881269,1802,1802844,8657203,10749404,69718,26,4678111,4825957,1245336,4620972,4881275,1802,1802855,8657320,10779100,488519,144,4678333,4826041,1274726,4621129,4881424,1802,1805653,8684056,10787027,275663,87,4678472,4826073,1282482,4621219,4881505,1802,1806327,8691200,10787403,70966,27,4678475,4826074,1282854,4621220,4881508,1802,1806328,8691575,10795135,293750,119,4678599,4826096,1290440,4621282,4881592,1802,1807187,8698302,10827792,582426,158,4678839,4826159,1322794,4621430,4881747,1802,1812764,8724495,10850804,414012,115,4679036,4826196,1345572,4621548,4881863,1802,1816314,8743256,10831669,41715,22,4678873,4826164,1326632,4621451,4881765,1802,1813154,8727968,10888347,632758,149,4679282,4826328,1382737,4621759,4882030,1802,1824492,8771538,10903791,384031,100,4679374,4826584,1397833,4621930,4882207,1802,1828150,8782442,10920486,419502,100,4679456,4826719,1414311,4622036,4882318,1802,1832040,8793145,10934481,389726,112,4679531,4826753,1428197,4622100,4882363,1802,1834235,8803444,10953208,537856,138,4679650,4826789,1446769,4622185,4882433,1802,1836797,8817648
7,AP,Andhra Pradesh,AP_Guntur,Guntur,Guntur,10294861,34163,45,4486704,4773579,1034578,4445373,4813397,1506,1940795,8079968,10295539,2224,6,4486707,4773585,1035247,4445378,4813401,1506,1940905,8080536,10344743,116347,167,4486830,4773662,1084251,4445495,4813484,1506,1943203,8127385,10389052,109291,170,4486985,4773720,1128347,4445560,4813632,1506,1944654,8170122,10395239,26131,51,4487006,4773811,1134422,4445608,4813696,1506,1944826,8176073,10399090,25788,43,4487018,4773826,1138246,4445622,4813709,1506,1944839,8179910,10426201,60430,151,4487137,4773902,1165162,4445736,4813790,1506,1945487,8205315,10428032,51605,105,4487146,4773919,1166967,4445748,4813804,1506,1945522,8207070,10428227,682,3,4487151,4773919,1167157,4445752,4813805,1506,1945529,8207258,10474989,101817,168,4487230,4773986,1213773,4445841,4813862,1506,1947074,8252475,10482425,30153,45,4487261,4774182,1220982,4445977,4813953,1506,1947965,8258847,10482513,1093,4,4487262,4774187,1221064,4445980,4813956,1506,1948020,8258880,10486661,29836,49,4487302,4774378,1224981,4446093,4814074,1506,1948362,8262573,10514807,94871,159,4487382,4774598,1252827,4446259,4814208,1506,1955130,8283815,10529058,40285,88,4487406,4774731,1266921,4446292,4814332,1506,1962855,8290241,10518374,120,2,4487394,4774618,1256362,4446275,4814224,1506,1956734,8285778,10549175,66995,153,4487461,4775496,1286218,4446744,4814699,1507,1971767,8300727,10553527,16060,69,4487495,4775577,1290455,4446809,4814749,1507,1974600,8301888,10566017,60460,102,4487521,4775598,1302898,4446832,4814773,1507,1976036,8312942,10577605,37370,95,4487564,4776262,1313779,4447123,4815189,1507,1976836,8323037,10603255,116435,166,4487736,4776371,1339148,4447266,4815327,1507,1980721,8344609
8,AP,Andhra Pradesh,AP_Krishna,Krishna,Krishna,9538830,116923,262,4089323,4447416,1002091,4163187,4371879,1672,2082506,7204306,9538988,0,0,4089323,4447432,1002233,4163196,4371886,1672,2082509,7204445,9572317,120884,262,4089424,4447436,1035457,4163247,4371940,1672,2084540,7235647,9589819,116135,243,4089490,4447446,1052883,4163288,4371975,1672,2086733,7250891,9597927,104728,222,4089510,4447473,1060944,4163319,4371991,1672,2087832,7257853,9601951,107705,235,4089580,4447477,1064894,4163356,4372028,1672,2088372,7261192,9620482,118538,247,4089607,4447486,1083389,4163372,4372048,1672,2088731,7279193,9634395,116504,242,4089619,4447492,1097284,4163381,4372057,1672,2089344,7292193,9635944,3668,10,4089619,4447492,1098833,4163381,4372057,1672,2089421,7293470,9673276,128834,288,4089659,4447513,1136104,4163418,4372081,1672,2090639,7329314,9681201,126199,266,4089711,4447645,1143845,4163526,4372157,1672,2090660,7336994,9681722,108935,231,4089715,4447645,1144362,4163529,4372158,1672,2090957,7337218,9688298,103148,239,4089722,4447751,1150825,4163583,4372217,1672,2093904,7340540,9708729,99633,255,4089722,4447814,1171193,4163633,4372230,1672,2109003,7345812,9720544,90122,230,4089754,4447920,1182870,4163707,4372294,1672,2113431,7353067,9709663,1907,7,4089722,4447864,1172077,4163667,4372246,1672,2109581,7346118,9740456,102272,260,4089755,4447943,1202758,4163711,4372314,1672,2121454,7364934,9754674,79556,229,4089765,4448091,1216818,4163788,4372395,1672,2122463,7377853,9771395,75067,206,4089805,4448131,1233459,4163820,4372443,1672,2123479,7393480,9783682,79364,221,4089892,4448193,1245597,4163870,4372542,1672,2124218,7404883,9807631,107739,342,4090045,4448574,1269012,4164129,4372817,1672,2125447,7418289
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,Kurnool,8055863,154229,104,3482389,3694178,879296,3482889,3692532,1141,1399291,6365083,8056613,22450,21,3482389,3694179,880045,3482890,3692532,1141,1399310,6365617,8064494,154970,100,3482435,3694211,887848,3482939,3692561,1141,1401167,6370875,8096290,153602,117,3482488,3694232,919570,3482979,3692595,1141,1402849,6400371,8131445,157278,118,3482525,3694258,954662,3483015,3692622,1141,1404020,6433568,8149794,143922,114,3482581,3694268,972945,3483053,3692650,1141,1404428,6448984,8161546,123884,101,3482597,3694274,984675,3483068,3692657,1141,1405106,6457991,8166905,86014,90,3482600,3694280,990025,3483073,3692661,1141,1405184,6462310,8167470,21549,24,3482600,3694282,990588,3483074,3692662,1141,1405184,6462856,8225567,182449,118,3482650,3694351,1048566,3483150,3692705,1141,1433510,6492614,8258421,180331,118,3482686,3694387,1081348,3483191,3692736,1141,1450708,6508140,8260205,48033,44,3482688,3694390,1083127,3483195,3692737,1141,1451635,6508995,8276309,119386,103,3482712,3694405,1099192,3483225,3692746,1141,1458083,6517856,8284262,141978,91,3482727,3694423,1107112,3483247,3692757,1141,1461601,6521495,8289571,105699,76,3482740,3694429,1112402,3483261,3692762,1141,1463510,6523716,8285759,23550,22,3482728,3694425,1108606,3483249,3692758,1141,1462127,6522272,8309326,119438,84,3482773,3694453,1132100,3483293,3692787,1141,1465377,6541160,8316579,87974,74,3482786,3694466,1139327,3483312,3692794,1141,1466117,6546626,8324089,75728,67,3482805,3694474,1146810,3483329,3692802,1143,1466955,6552682,8349530,118143,112,3482894,3694508,1172128,3483397,3692857,1143,1467223,6577240,8365630,108436,102,3482953,3694534,1188143,3483446,3692893,1143,1467500,6592557
