Update Time Stamp,Tested As Of,Daily RTPCR Samples Collected_ICMR Application,Total RTPCR Samples Collected_ICMR Application,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Positive cases from samples reported,Sample Reported today,HealthCare Workers Vaccinated (1st Dose),HealthCare Workers Vaccinated (2nd Dose),Frontline Workers Vaccinated (1st Dose),Frontline Workers Vaccinated (2nd Dose),18-44 Years (1st Dose),18-44 Years (2nd Dose),Over 45 Years (1st Dose),Over 45 Years (2nd Dose),45 to 60 years with Co-morbidities (1st Dose),45 to 60 years with Co-morbidities (2nd Dose),Over 60 Years (1st Dose),Over 60 Years (2nd Dose),First Dose Administered,Second Dose Administered,Registration (Online),Registration (Onspot),Registration (FLW&HCW),Registration (18-45 Years),Registration (Above 45 Years),Total Doses Administered,Total Individuals Registered,Total Sessions Conducted,Total Doses Provided to States/UTs,Total Vaccine Consumption Including Wastage,Total Doses Available with States/UTs,Total Doses Available with States/UTs & Private Hospitals,Total Doses In Pipeline,Source,Source 2,Source 3,Source 4
25/08/2022 09:00:00,24/08/2022,,,883916723,,,,,392837,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_25Aug2022.pdf,,,
26/08/2022 09:00:00,25/08/2022,,,884339045,,,,,422322,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_26Aug2022.pdf,,,
27/08/2022 09:00:00,26/08/2022,,,884720250,,,,,381205,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/twitter/statuses/1563382982710157315,,,
28/08/2022 09:00:00,27/08/2022,,,885042801,,,,,322551,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_28Aug2022.pdf,,,
29/08/2022 09:00:00,28/08/2022,,,885208552,,,,,165751,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Aug2022.pdf,,,
30/08/2022 09:00:00,29/08/2022,,,885528970,,,,,320418,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Aug2022.pdf,,,
31/08/2022 09:00:00,30/08/2022,,,885881136,,,,,352166,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_31Aug2022.pdf,,,
01/09/2022 09:00:00,31/08/2022,,,886147613,,,,,266477,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01Sept2022.pdf,,,
02/09/2022 09:00:00,01/09/2022,,,886466255,,,,,318642,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02Sept2022.pdf,,,
03/09/2022 09:00:00,02/09/2022,,,886831141,,,,,364886,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03Sept2022.pdf,,,
04/09/2022 09:00:00,03/09/2022,,,887151961,,,,,320820,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04Sept2022.pdf,,,
05/09/2022 09:00:00,04/09/2022,,,887379274,,,,,227313,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ICMRDELHI/status/1566628921579544576?s=20&t=MqRKIjwaSW2sbn9fY4Ep1A,,,
06/09/2022 09:00:00,05/09/2022,,,887746764,,,,,367490,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ICMRDELHI/status/1566992838558351360?s=20&t=mFoR14k4hyBniCf2oYdn1g,,,
